num_large_appliances,total_units_purchased,total_units_purchased_on_mfr_coup,total_units_purchased_on_store_coup,num_small_appliances,num_pets,num_members_in_household,household_income,male_head_avg_work_hours,female_head_avg_work_hours,household_id,rim_market,primary_head_avg_work_hours,total_head_avg_work_hours,weekday_shopper,weekday_purchase_percentage,residence_status
2,71.0000,3,0,14,0,3,3,40,0,1102764,1,0,40,1,0.97183099,2
10,150.0000,3,8,14,0,5,10,60,0,1102780,1,0,60,1,0.86000000,1
12,139.0000,8,12,15,2,4,8,40,40,1102806,1,40,80,1,0.52517986,1
14,106.0000,1,16,17,0,4,10,50,30,1102822,1,30,80,1,0.99056604,1
3,254.0000,0,2,4,3,3,4,40,30,1102863,1,30,70,1,0.77559055,2
2,103.0000,2,0,4,0,1,2,20,0,1102871,1,0,20,1,0.96116505,2
10,24.0000,0,0,20,1,6,8,44,60,1102905,1,60,104,0,0.33333333,1
7,119.0000,0,0,8,0,2,2,40,0,1102921,1,0,40,1,0.84873950,2
2,48.0000,0,0,10,0,1,5,0,40,1102947,1,40,40,1,0.97916667,2
10,83.0000,3,3,11,2,3,6,45,40,1102988,1,40,85,0,0.44578313,1
8,57.0000,2,6,15,2,2,7,40,30,1102996,1,30,70,1,0.50877193,1
10,91.0000,3,0,14,0,3,5,40,0,1103010,1,0,40,1,0.68131868,1
8,133.0000,0,0,12,0,1,2,0,40,1103028,1,40,40,1,0.93233083,2
10,199.0000,1,0,10,1,2,6,0,40,1103051,1,40,40,1,0.72361809,2
9,219.0000,0,12,11,0,4,6,40,37,1103101,1,37,77,1,0.53424658,1
12,126.0000,1,0,11,1,3,7,45,40,1103259,1,40,85,0,0.43650794,1
6,212.0000,2,9,12,0,3,2,0,0,1103283,1,0,0,1,0.67452830,1
6,219.0000,0,0,10,1,3,1,0,20,1103309,1,20,20,1,0.75799087,2
12,49.0000,0,3,14,0,2,6,60,20,1103341,1,20,80,1,0.93877551,1
8,61.0000,2,1,4,0,2,6,0,0,1103390,1,0,0,1,0.83606557,1
12,200.0000,4,10,20,0,4,7,40,40,1103408,1,40,80,1,0.51500000,1
14,334.0000,8,1,10,1,5,4,40,0,1103473,1,0,40,1,0.53592814,1
8,164.0000,9,1,8,0,2,4,0,40,1103481,1,40,40,1,0.58536585,1
14,433.0000,8,1,16,1,5,11,35,20,1103499,1,20,55,1,0.71593533,1
